# Type, Name, Class_ID, Sizeof, Value, C_Type, C_Format, Hidden, Description, Min_Value, Max_Value, Permissions (Read|Write|Set-by-create), Mandatory (Mandatory|Optional), Operations (Create|Delete|Set|Get|get-Next|Test|Reboot|stArt-download|downLoad-section|End-download|activate-Image|coMmit-image|sYnchronize-time)
    attribute, drop_precedence_colour_marking,,1,, enum,,, Drop precedence colour marking,,, RW, O,
        value, no_marking,,,0,,,,,,,,,
        value, internal_marking,,,1,,,,,,,,,
        value, dei,,,2,,,,,,,,,
        value, pcp_8_p_0_d,,,3,,,,,,,,,
        value, pcp_7_p_1_d,,,4,,,,,,,,,
        value, pcp_6_p_2_d,,,5,,,,,,,,,
        value, pcp_5_p_3_d,,,6,,,,,,,,,
        value, dscp_af_class,,,7,,,,,,,,,
me, mcast_gem_iw_tp,281,,,,,, Multicast GEM interworking termination point,,,,, CDSGN
    attribute, gem_port_net_ctp_conn_ptr,,2,, int, %u,, GEM port network CTP connectivity pointer,,, RS, M,
    attribute, iw_opt,,1,, enum,,, Interworking option,,, RWS, M,
        value, no_op,,,0,,,,,,,,,
        value, mac_bridged_lan,,,1,,,,,,,,,
        value, reserved,,,3,,,,,,,,,
        value, ieee_8021_p_mapper,,,5,,,,,,,,,
    attribute, svc_prof_ptr,,2,, int, %u,, Service profile pointer,,, RWS, M,
    attribute, not_used_1,,2,, int, %u,, Not used 1,,, RWS, M,
    attribute, pptp_counter,,1,, int, %u,, PPTP Counter,,, R, O,
    attribute, oper_state,,1,, enum,,, Operational state,,, R, O,
        value, enabled,,,0,,,,,,,,,
        value, disabled,,,1,,,,,,,,,
    attribute, gal_prof_ptr,,2,, int, %u,, GAL profile pointer,,, RWS, M,
    attribute, not_used_2,,1,, int, %u,, Not used 2,,, RWS, M,
    attribute, ipv_4_mcast_addr_table,,12,, struct,,, IPv4 multicast address table,,, RW, M,
        field, gem_port_id,,2,, int, %u,, GEM Port ID,,,,,
        field, secondary_key,,2,, int, %u,, Secondary Key,,,,,
        field, mcast_addr_range_start,,4,, int, %x,, IP multicast destination address range start,,,,,
        field, mcast_addr_range_stop,,4,, int, %x,, IP multicast destination address range stop,,,,,
    attribute, ipv_6_mcast_addr_table,,24,, struct,,, IPv6 multicast address table,,, RW, O,
        field, gem_port_id,,2,, int, %u,, GEM Port ID,,,,,
        field, secondary_key,,2,, int, %u,, Secondary Key,,,,,
        field, mcast_addr_range_start_lsb,,4,, int, %x,, LSB of IP multicast destination address range start,,,,,
        field, mcast_addr_range_stop_lsb,,4,, int, %x,, LSB of IP multicast destination address range stop,,,,,
        field, mcast_addr_range_msb,,12,, bytes,,, Most significant bytes; IP destination address,,,,,
me, mcast_operations_profile,309,,,,,, Multicast Operations Profile,,,,, CDSGNT
    attribute, igmp_version,,1,, enum,,, IGMP version,,, RWS, M,
        value, deprecated,,,1,,,,,,,,,
        value, igmp_version_2,,,2,,,,,,,,,
        value, igmp_version_3,,,3,,,,,,,,,
        value, mld_version_1,,,16,,,,,,,,,
        value, mld_version_2,,,17,,,,,,,,,
    attribute, igmp_function,,1,, enum,,, IGMP function,,, RWS, M,
        value, transparent_igmp_snooping,,,0,,,,,,,,,
        value, spr,,,1,,,,,,,,,
        value, igmp_proxy,,,2,,,,,,,,,
    attribute, immediate_leave,,1,, int, %u,, Immediate leave,,, RWS, M,
    attribute, upstream_igmp_tci,,2,, int, %u,, Upstream IGMP TCI,,, RWS, O,
    attribute, upstream_igmp_tag_control,,1,, enum,,, Upstream IGMP tag control,,, RWS, O,
        value, pass_igmp_mld_transparent,,,0,,,,,,,,,
        value, add_vlan_tag,,,1,,,,,,,,,
        value, replace_vlan_tag,,,2,,,,,,,,,
        value, replace_vlan_id,,,3,,,,,,,,,
    attribute, upstream_igmp_rate,,4,, int, %u,, Upstream IGMP rate,,, RWS, O,
    attribute, dynamic_access_control_list_table,,24,, struct,,, Dynamic access control list table,,, RW, M,
        field, table_control,,2,, int, %u,, Table Control,,,,,
        field, gem_port_id,,2,, int, %u,, GEM Port ID,,,,,
        field, vlan_id,,2,, int, %u,, VAN ID,,,,,
        field, src_ip,,4,, int, %x,, Source IP,,,,,
        field, ip_mcast_addr_start,,4,, int, %x,, Destination IP address start of range,,,,,
        field, ip_mcast_addr_end,,4,, int, %x,, Destination IP address end of range,,,,,
        field, imputed_grp_bw,,4,, int, %u,, Imputed Group,,,,,
        field, reserved,,2,, int, %u,, Reserved,,,,,
    attribute, static_access_control_list_table,,24,, struct,,, Static access control list table,,, RW, M,
        field, table_control,,2,, int, %u,, Table Control,,,,,
        field, gem_port_id,,2,, int, %u,, GEM Port ID,,,,,
        field, vlan_id,,2,, int, %u,, VAN ID,,,,,
        field, src_ip,,4,, int, %x,, Source IP,,,,,
        field, ip_mcast_addr_start,,4,, int, %x,, Destination IP address start of range,,,,,
        field, ip_mcast_addr_end,,4,, int, %x,, Destination IP address end of range,,,,,
        field, imputed_grp_bw,,4,, int, %u,, Imputed Group,,,,,
        field, reserved,,2,, int, %u,, Reserved,,,,,
    attribute, lost_groups_list_table,,10,, bytes,,, Lost groups list table,,, R, O,
    attribute, robustness,,1,, int, %u,, Robustness,,, RWS, O,
    attribute, querier_ip_address,,4,, int, %x,, Querier IP address,,, RWS, O,
    attribute, query_interval,,4,, int, %u,, query_interval,,, RWS, O,
    attribute, query_max_response_time,,4,, int, %u,, Query max response time,,, RWS, O,
    attribute, last_member_query_interval,,1,, int, %u,, Last member query interval,,, RW, O,
    attribute, unauth_join_request_behaviour,,1,, int, %u,, Unauthorized join request behaviour,,, RW, O,
    attribute, ds_igmp_and_multicast_tci,,3,, struct,,, Downstream IGMP and multicast TCI,,, RWS, O,
        field, control_type,,1,, enum,,, Control type,,,,,
            value, transparent,,,0,,,, Pass downstream IGMP/MLD and multicast traffic transparently; neither stripping nor modifying tags that may be present,,,,,
            value, strip_outer_tag,,,1,,,, Strip the outer VLAN tag (including P bits) from downstream IGMP/MLD and multicast traffic,,,,,
            value, add_outer_tag,,,2,,,,,,,,,
            value, replace_outer_tci,,,3,,,,,,,,,
            value, replace_outer_vid,,,4,,,,,,,,,
            value, add_outer_tag_by_subscriber_config_info,,,5,,,,,,,,,
            value, replace_outer_tci_by_subscriber_config_info,,,6,,,,,,,,,
            value, replace_outer_vid_by_subscriber_config_info,,,7,,,,,,,,,
        field, tci,,2,, int, %u,, TCI,,,,,
me, mcast_subscriber_config_info,310,,,,,, Multicast subscriber config info,,,,, CDSGNT
    attribute, me_type,,1,, enum,,, ME Type,,, RWS, M,
        value, mac_bridge_port_config_data,,,0,,,,,,,,,
        value, ieee_8021p_mapper_service_profile,,,1,,,,,,,,,
    attribute, mcast_operations_prof_ptr,,2,, int, %u,, Multicast operations profile pointer,,, RWS, M,
    attribute, max_simultaneous_groups,,2,, int, %u,, Max simultaneous groups,,, RWS, O,
    attribute, max_multicast_bw,,4,, int, %u,, Max multicast bandwidth,,, RWS, O,
    attribute, bw_enforcement,,1,, int, %u,, Bandwidth enforcement,,, RWS, O,
    attribute, mcast_svc_pkg_table,,20,, bytes,,, Multicast service package table,,, RW, O,
    attribute, allowed_preview_groups_table,,24,, bytes,,, Allowed preview groups table,,, RW, O,
me, pptp_eth_uni,11,,,,,, PPTP Ethernet UNI,,,,, SG
    attribute, expected_type,,1,, int, %u,, Expected Type,,, RW, M,
    attribute, sensed_type,,1,, int, %u,, Sensed Type,,, R, M,
    attribute, auto_detection_config,,1,, enum,,, Auto Detection Configuration,,, RW,M,
        value, auto_detect_config_auto_rate_auto_mode,,,0,,,,,,,,,
        value, auto_detect_config_10_meg_full_duplex,,,1,,,,,,,,,
        value, auto_detect_config_100_meg_full_duplex,,,2,,,,,,,,,
        value, auto_detect_config_1000_meg_full_duplex,,,3,,,,,,,,,
        value, auto_detect_config_auto_rate_full_duplex,,,4,,,,,,,,,
        value, auto_detect_config_10_gig_full_duplex,,,5,,,,,,,,,
        value, auto_detect_config_10_meg_auto_mode,,,16,,,,,,,,,
        value, auto_detect_config_10_meg_half_duplex,,,17,,,,,,,,,
        value, auto_detect_config_100_meg_half_duplex,,,18,,,,,,,,,
        value, auto_detect_config_1000_meg_half_duplex,,,19,,,,,,,,,
        value, auto_detect_config_auto_rate_half_duplex,,,20,,,,,,,,,
        value, auto_detect_config_1000_meg_auto_mode,,,32,,,,,,,,,
        value, auto_detect_config_100_meg_auto_mode,,,48,,,,,,,,,
    attribute, ethernet_loopback_config,,1,, enum,,, Ethernet loopback configuration,,, RW,M,
        value, no_loopback,,,0,,,,,,,,,
        value, loop_3,,,3,,,,,,,,,
    attribute, admin_state,,1,, enum,,, Administrative State,,, RW,M,
